,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
3_0,SG_20170123.csv.gz,0,0.0,0.25,1224,True,6237.580027060082,0.4654985185663417,10039.319691368108,19322.658999607283,False,True,False,1,True,True,True,3,True,True,True,3
3_1,SG_20170123.csv.gz,1,0.25,0.5,740,True,3217.72549855842,0.33119563201098035,18661.735793518445,33640.6188896711,False,False,False,0,False,False,False,0,True,True,True,3
3_2,SG_20170123.csv.gz,2,0.5,0.75,587,True,1806.833258855266,0.28045991949423366,4925.471701447166,8669.411455643138,False,True,False,1,False,False,False,0,True,True,True,3
3_3,SG_20170123.csv.gz,3,0.75,1.0,495,True,1692.9059612010365,0.20550733974406918,4153.6254823450645,6630.999523759845,False,False,False,0,False,False,False,0,True,True,True,3
3_4,SG_20170123.csv.gz,4,1.0,1.25,419,True,884.3032625371676,0.2618878195045132,11703.181919908791,29333.53640578995,False,False,False,0,False,False,False,0,True,True,True,3
3_5,SG_20170123.csv.gz,5,1.25,1.5,713,True,2333.3018832161497,0.43712621393089046,83198.12668422349,150074.92076193984,False,True,False,1,True,True,True,3,True,True,True,3
3_6,SG_20170123.csv.gz,6,1.5,1.75,354,True,903.3993788191533,0.2273819396566156,53080.989232717846,144484.04790345835,False,True,False,1,False,False,False,0,True,True,True,3
3_7,SG_20170123.csv.gz,7,1.75,2.0,441,True,1167.5606581958973,0.2519396658195817,12660.877525540793,29003.960273380355,False,True,False,1,False,True,False,1,True,True,True,3
3_8,SG_20170123.csv.gz,8,2.0,2.25,237,True,349.6048195326684,0.15208001022734377,6814.591899676007,21676.339127790066,False,False,False,0,False,False,False,0,True,True,True,3
3_9,SG_20170123.csv.gz,9,2.25,2.5,251,True,609.0942419657141,0.14082846436925195,8627.257789223595,26640.531664340295,False,False,False,0,True,True,True,3,True,True,True,3
3_10,SG_20170123.csv.gz,10,2.5,2.75,311,True,964.2616802005389,0.18406853930030947,70998.7435591046,151519.14133137342,False,False,False,0,False,False,False,0,True,True,True,3
3_11,SG_20170123.csv.gz,11,2.75,3.0,342,True,972.4868748680215,0.18184805499488757,8778.511081718025,25528.776734560826,False,False,False,0,False,True,True,2,True,True,True,3
3_12,SG_20170123.csv.gz,12,3.0,3.25,226,True,726.8072728373766,0.11521403897933463,15438.583579637043,45495.741080394495,False,False,False,0,False,True,False,1,True,True,True,3
3_13,SG_20170123.csv.gz,13,3.25,3.5,295,True,1024.0573377455507,0.1435486650628738,15420.81492177711,36678.27295565841,False,True,False,1,False,True,False,1,True,True,True,3
